PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
D Kalyankrishna,Deccan Chargers,2008-2008,3,1,0,3,3,3,8,37.5,0,0,0,0,0,3,8.0,0,87,2,1/30,43.5,10.87,24,0,0
D Padikkal,"Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru",2020-2026,78,77,3,1931,101*,26.09,1492,129.42,1,13,6,205,62,-,-,-,-,-,-,-,-,-,-,-
D Pretorius,Chennai Super Kings,2022-2023,7,5,1,44,22,11,28,157.14,0,0,1,3,3,7,25.0,0,238,6,2/30,39.66,9.52,25,0,0
D Salunkhe,Rajasthan Royals,2008-2008,6,3,1,33,26*,16.5,24,137.5,0,0,0,5,0,5,8.0,0,78,1,1/21,78,9.75,48,0,0
D Wiese,"Kolkata Knight Riders, Royal Challengers Bangalore",2015-2023,18,11,6,148,47*,29.6,101,146.53,0,0,0,12,7,15,49.2,0,440,16,4/33,27.5,8.91,18.5,1,0
D du Preez,Royal Challengers Bangalore,2009-2009,2,1,0,10,10,10,13,76.92,0,0,0,0,0,2,7.0,1,56,4,3/32,14,8,10.5,0,0
DA Miller,"Delhi Capitals, Gujarat Titans, Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals",2012-2026,145,138,51,3156,101*,36.27,2272,138.9,1,13,4,228,142,-,-,-,-,-,-,-,-,-,-,-
DA Payne,Sunrisers Hyderabad,2026-2026,2,1,1,6,6*,-,5,120,0,0,0,0,0,2,5.0,0,70,2,2/35,35,14,15,0,0
DA Warner,"Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad",2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236,1,0.1,0,2,0,-,-,12,-,0,0
DAJ Bracewell,Delhi Daredevils,2012-2012,1,1,1,12,12*,-,9,133.33,0,0,0,1,0,1,4.0,0,32,3,3/32,10.66,8,8,0,0
DB Das,Kolkata Knight Riders,2008-2013,31,22,8,304,35*,21.71,261,116.47,0,0,1,23,16,-,-,-,-,-,-,-,-,-,-,-
DB Ravi Teja,"Deccan Chargers, Sunrisers Hyderabad",2008-2013,32,25,6,375,60,19.73,317,118.29,0,1,1,35,9,2,3.0,0,28,1,1/19,28,9.33,18,0,0
DC Jurel,Rajasthan Royals,2023-2026,46,39,12,856,81*,31.7,539,158.81,0,6,3,68,46,-,-,-,-,-,-,-,-,-,-,-
DE Bollinger,Chennai Super Kings,2010-2012,27,4,3,21,16*,21,23,91.3,0,0,0,1,1,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0
DG Nalkande,Gujarat Titans,2022-2024,6,2,0,12,12,6,12,100,0,0,1,0,1,6,14.0,0,148,6,2/21,24.66,10.57,14,0,0
DH Yagnik,Rajasthan Royals,2011-2014,25,17,7,170,34,17,137,124.08,0,0,1,23,2,-,-,-,-,-,-,-,-,-,-,-
DJ Bravo,"Chennai Super Kings, Gujarat Lions, Mumbai Indians",2008-2022,161,113,44,1560,70*,22.6,1204,129.56,0,5,5,120,66,158,519.5,3,4360,183,4/22,23.82,8.38,17,2,0
DJ Harris,Deccan Chargers,2012-2012,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5,2,3.0,0,26,0,-,-,8.66,-,0,0
DJ Hooda,"Chennai Super Kings, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad",2015-2025,125,101,16,1496,64,17.6,1172,127.64,0,8,5,98,62,34,63.1,0,546,10,2/16,54.6,8.64,37.9,0,0
DJ Hussey,"Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders",2008-2014,64,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60,26,52.5,0,474,8,2/2,59.25,8.97,39.6,0,0
DJ Jacobs,Mumbai Indians,2011-2012,7,7,0,92,32,13.14,98,93.87,0,0,1,10,4,-,-,-,-,-,-,-,-,-,-,-
DJ Malan,Punjab Kings,2021-2021,1,1,0,26,26,26,26,100,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-
DJ Mitchell,"Chennai Super Kings, Rajasthan Royals",2022-2024,15,15,2,351,63,27,267,131.46,0,2,0,28,10,4,8.0,0,97,1,1/18,97,12.12,48,0,0
DJ Muthuswami,Delhi Daredevils,2015-2015,6,2,1,1,1,1,3,33.33,0,0,0,0,0,6,14.0,0,101,4,2/18,25.25,7.21,21,0,0
DJ Thornely,Mumbai Indians,2008-2008,6,4,2,39,30,19.5,53,73.58,0,0,0,2,2,4,7.0,0,40,3,2/7,13.33,5.71,14,0,0
DJ Willey,"Chennai Super Kings, Royal Challengers Bangalore",2018-2023,11,5,3,53,20*,26.5,62,85.48,0,0,1,7,0,11,36.0,1,272,6,2/16,45.33,7.55,36,0,0
DJG Sammy,"Royal Challengers Bangalore, Sunrisers Hyderabad",2013-2015,22,20,5,295,60,19.66,241,122.4,0,1,2,15,18,19,39.2,0,350,11,4/22,31.81,8.89,21.4,1,0
DJM Short,Rajasthan Royals,2018-2018,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5,2,3.0,0,19,1,1/10,19,6.33,18,0,0
DL Chahar,"Chennai Super Kings, Mumbai Indians, Rising Pune Supergiant, Rising Pune Supergiants",2016-2026,97,18,10,123,39,15.37,89,138.2,0,0,4,6,8,97,323.1,7,2639,89,4/13,29.65,8.16,21.7,2,0
DL Vettori,"Delhi Daredevils, Royal Challengers Bangalore",2008-2012,34,17,9,121,29,15.12,113,107.07,0,0,1,11,2,34,129.3,0,879,28,3/15,31.39,6.78,27.7,0,0
DM Bravo,Kolkata Knight Riders,2017-2017,1,1,1,6,6*,-,5,120,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
DNT Zoysa,Deccan Chargers,2008-2008,3,2,1,11,10*,11,9,122.22,0,0,0,1,0,3,11.0,0,99,2,1/30,49.5,9,33,0,0
DP Conway,Chennai Super Kings,2022-2025,29,28,3,1080,92*,43.2,773,139.71,0,11,3,116,34,-,-,-,-,-,-,-,-,-,-,-
DP Nannes,"Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore",2009-2013,29,3,2,4,3,4,13,30.76,0,0,0,0,0,29,107.3,1,785,28,3/27,28.03,7.3,23,0,0
DP Vijaykumar,Deccan Chargers,2008-2008,9,2,2,1,1*,-,1,100,0,0,0,0,0,9,25.2,0,199,4,1/17,49.75,7.85,38,0,0
DPMD Jayawardene,"Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala",2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,2,200,39,-,-,-,-,-,-,-,-,-,-,-
DR Martyn,Rajasthan Royals,2010-2010,1,1,0,19,19,19,24,79.16,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
DR Sams,"Delhi Capitals, Mumbai Indians, Royal Challengers Bangalore",2020-2022,16,13,4,44,15,4.88,44,100,0,0,3,1,3,16,60.0,0,523,14,4/30,37.35,8.71,25.7,1,0
DR Shorey,Chennai Super Kings,2018-2019,2,2,0,13,8,6.5,17,76.47,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
DR Smith,"Chennai Super Kings, Deccan Chargers, Gujarat Lions, Mumbai Indians",2008-2017,91,89,5,2385,87*,28.39,1764,135.2,0,17,8,245,117,46,89.5,0,810,26,4/8,31.15,9.01,20.7,1,0
DS Kulkarni,"Gujarat Lions, Mumbai Indians, Rajasthan Royals",2008-2021,92,23,14,104,28*,11.55,108,96.29,0,0,0,7,2,92,297.5,8,2474,86,4/14,28.76,8.3,20.7,1,0
DS Lehmann,Rajasthan Royals,2008-2008,2,2,0,18,17,9,18,100,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-
DS Rathi,Lucknow Super Giants,2025-2026,16,2,1,1,1,1,3,33.33,0,0,0,0,0,16,64.0,0,531,17,2/30,31.23,8.29,22.5,0,0
DT Christian,"Deccan Chargers, Delhi Daredevils, Rising Pune Supergiant, Royal Challengers Bangalore",2011-2021,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19,49,147.1,0,1192,38,2/10,31.36,8.09,23.2,0,0
DT Patil,Royal Challengers Bangalore,2008-2008,2,2,0,13,9,6.5,13,100,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-
DW Steyn,"Deccan Chargers, Gujarat Lions, Royal Challengers Bangalore, Sunrisers Hyderabad",2008-2020,95,37,15,167,19*,7.59,160,104.37,0,0,5,14,3,95,362.4,7,2508,97,3/8,25.85,6.91,22.4,0,0
E Lewis,"Lucknow Super Giants, Mumbai Indians, Rajasthan Royals",2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36,-,-,-,-,-,-,-,-,-,-,-
E Malinga,Sunrisers Hyderabad,2025-2026,11,-,-,-,-,-,-,-,-,-,-,-,-,11,37.4,0,363,16,3/31,22.68,9.63,14.1,0,0
EJG Morgan,"Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore, Sunrisers Hyderabad",2010-2021,83,75,13,1405,68*,22.66,1146,122.6,0,5,6,112,64,-,-,-,-,-,-,-,-,-,-,-
ER Dwivedi,Gujarat Lions,2016-2016,4,2,0,24,19,12,14,171.42,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-
F Behardien,Kings XI Punjab,2016-2016,3,3,1,14,9*,7,13,107.69,0,0,1,2,0,-,-,-,-,-,-,-,-,-,-,-
F du Plessis,"Chennai Super Kings, Delhi Capitals, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore, Royal Challengers Bengaluru",2012-2025,154,147,11,4773,96,35.09,3515,135.78,0,39,7,439,174,1,1.0,0,16,0,-,-,16,-,0,0
FA Allen,"Mumbai Indians, Punjab Kings",2021-2022,5,4,2,14,8,7,19,73.68,0,0,0,1,0,4,15.0,1,136,2,1/22,68,9.06,45,0,0
FH Allen,Kolkata Knight Riders,2026-2026,4,4,0,80,37,20,39,205.12,0,0,0,13,4,-,-,-,-,-,-,-,-,-,-,-
FH Edwards,Deccan Chargers,2009-2009,6,2,1,4,3*,4,5,80,0,0,0,0,0,6,23.2,1,154,5,2/27,30.8,6.6,28,0,0
FY Fazal,Rajasthan Royals,2010-2011,12,11,1,183,45,18.3,173,105.78,0,0,1,22,1,2,2.0,0,20,0,-,-,10,-,0,0
Fazalhaq Farooqi,"Rajasthan Royals, Sunrisers Hyderabad",2022-2025,12,3,3,5,2*,-,15,33.33,0,0,0,0,0,12,42.2,0,437,6,2/32,72.83,10.32,42.3,0,0
G Coetzee,"Gujarat Titans, Mumbai Indians",2024-2025,14,7,1,31,12,5.16,33,93.93,0,0,1,2,2,14,45.3,0,472,15,4/34,31.46,10.37,18.2,1,0
G Gambhir,"Delhi Daredevils, Kolkata Knight Riders",2008-2018,154,152,16,4217,93,31,3404,123.88,0,36,12,492,59,-,-,-,-,-,-,-,-,-,-,-
GB Hogg,"Kolkata Knight Riders, Rajasthan Royals",2012-2016,21,6,3,22,13,7.33,22,100,0,0,0,1,0,21,76.2,1,570,23,4/29,24.78,7.46,19.9,1,0
GC Smith,"Pune Warriors, Rajasthan Royals",2008-2011,29,29,3,739,91,28.42,668,110.62,0,4,3,94,9,-,-,-,-,-,-,-,-,-,-,-
GC Viljoen,Kings XI Punjab,2019-2019,6,3,1,3,2*,1.5,7,42.85,0,0,1,0,0,6,23.0,0,222,7,2/39,31.71,9.65,19.7,0,0
GD McGrath,Delhi Daredevils,2008-2008,14,3,2,4,4*,4,5,80,0,0,1,1,0,14,54.0,2,357,12,4/29,29.75,6.61,27,1,0
GD Phillips,"Gujarat Titans, Rajasthan Royals, Sunrisers Hyderabad",2021-2026,12,11,2,107,25,11.88,85,125.88,0,0,1,5,8,4,5.0,0,40,2,1/10,20,8,15,0,0
GF Linde,Lucknow Super Giants,2026-2026,1,1,0,16,16,16,10,160,0,0,0,3,0,1,3.0,0,28,0,-,-,9.33,-,0,0
GH Vihari,"Delhi Capitals, Sunrisers Hyderabad",2013-2019,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1,6,7.0,0,47,1,1/5,47,6.71,42,0,0
GHS Garton,Royal Challengers Bangalore,2021-2021,5,3,2,2,2*,2,4,50,0,0,1,0,0,5,15.0,0,135,3,1/27,45,9,30,0,0
GJ Bailey,"Chennai Super Kings, Kings XI Punjab, Rising Pune Supergiants",2009-2016,40,37,10,663,61*,24.55,544,121.87,0,2,1,59,19,-,-,-,-,-,-,-,-,-,-,-
GJ Maxwell,"Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru",2012-2025,141,135,17,2819,95,23.88,1817,155.14,0,18,19,237,161,85,170.2,1,1413,41,2/15,34.46,8.29,24.9,0,0
GR Napier,Mumbai Indians,2009-2009,1,1,0,15,15,15,16,93.75,0,0,0,1,0,1,4.0,0,27,1,1/27,27,6.75,24,0,0
GS Sandhu,Delhi Daredevils,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-,2,8.0,0,82,1,1/33,82,10.25,48,0,0
Gagandeep Singh,Kings XI Punjab,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,-,4,14.0,0,141,3,1/33,47,10.07,28,0,0
Gulbadin Naib,Delhi Capitals,2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1,1,1.0,0,12,0,-,-,12,-,0,0
Gurjapneet Singh,Chennai Super Kings,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,39,1,1/39,39,9.75,24,0,0
Gurkeerat Singh,"Kings XI Punjab, Royal Challengers Bangalore",2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11,6,13.0,0,97,5,2/15,19.4,7.46,15.6,0,0
Gurnoor Brar,Punjab Kings,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,42,0,-,-,14,-,0,0
H Das,Deccan Chargers,2008-2008,1,1,0,2,2,2,5,40,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
H Klaasen,"Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad",2018-2026,53,49,8,1664,105*,40.58,1003,165.9,2,9,1,110,94,-,-,-,-,-,-,-,-,-,-,-
H Sharma,"Royal Challengers Bangalore, Royal Challengers Bengaluru",2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5.0,0,57,0,-,-,11.4,-,0,0
HC Brook,Sunrisers Hyderabad,2023-2023,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,-,-,-,-,-,-,-,-,-,-,-
HE van der Dussen,Rajasthan Royals,2022-2022,3,3,1,22,12*,11,24,91.66,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-
HF Gurney,Kolkata Knight Riders,2019-2019,8,1,1,1,1*,-,5,20,0,0,0,0,0,8,27.0,0,238,7,2/25,34,8.81,23.1,0,0
HH Gibbs,"Deccan Chargers, Mumbai Indians",2008-2012,36,36,4,886,69*,27.68,807,109.78,0,6,4,83,31,-,-,-,-,-,-,-,-,-,-,-
HH Pandya,"Gujarat Titans, Mumbai Indians",2015-2026,155,142,44,2776,91,28.32,1888,147.03,0,10,6,212,148,110,280.2,0,2587,80,5/36,32.33,9.22,21,0,1
HM Amla,Kings XI Punjab,2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21,-,-,-,-,-,-,-,-,-,-,-
HR Shokeen,Mumbai Indians,2022-2023,13,6,3,66,25,22,65,101.53,0,0,0,9,0,13,34.0,0,314,5,2/34,62.8,9.23,40.8,0,0
HS Dubey,Sunrisers Hyderabad,2025-2026,7,4,2,13,9*,6.5,9,144.44,0,0,1,2,0,7,23.0,0,206,10,3/34,20.6,8.95,13.8,0,0
HV Patel,"Delhi Capitals, Delhi Daredevils, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",2012-2026,122,48,17,274,36*,8.83,233,117.59,0,0,10,17,15,119,411.4,2,3673,151,5/27,24.32,8.92,16.3,4,1
Harbhajan Singh,"Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians",2008-2021,163,90,37,833,64,15.71,604,137.91,0,1,13,79,42,160,569.2,6,4030,150,5/18,26.86,7.07,22.7,1,1
Harmeet Singh,"Deccan Chargers, Kings XI Punjab",2009-2013,27,6,2,18,14,4.5,12,150,0,0,2,3,0,27,87.3,0,697,26,3/24,26.8,7.96,20.1,0,0
Harmeet Singh,"Deccan Chargers, Kings XI Punjab",2009-2013,27,6,2,18,14,4.5,12,150,0,0,2,3,0,1,4.0,0,34,1,1/34,34,8.5,24,0,0
Harmeet Singh,Rajasthan Royals,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,27,87.3,0,697,26,3/24,26.8,7.96,20.1,0,0
Harmeet Singh,Rajasthan Royals,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,34,1,1/34,34,8.5,24,0,0
Harpreet Brar,"Kings XI Punjab, Punjab Kings",2019-2025,49,26,14,244,29,20.33,203,120.19,0,0,1,19,10,46,135.1,1,1085,35,4/30,31,8.02,23.1,1,0
Harpreet Singh,"Kolkata Knight Riders, Pune Warriors, Punjab Kings",2010-2024,9,8,1,123,41,17.57,119,103.36,0,0,0,10,3,-,-,-,-,-,-,-,-,-,-,-
Harshit Rana,Kolkata Knight Riders,2022-2025,34,10,4,59,34,9.83,56,105.35,0,0,1,5,3,32,108.1,1,1029,40,3/24,25.72,9.51,16.2,0,0
Himmat Singh,Lucknow Super Giants,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
I Malhotra,Deccan Chargers,2011-2011,1,1,1,7,7*,-,4,175,0,0,0,1,0,1,1.0,0,23,0,-,-,23,-,0,0
I Sharma,"Deccan Chargers, Delhi Capitals, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiants, Sunrisers Hyderabad",2008-2025,117,28,22,57,10*,9.5,69,82.6,0,0,1,4,2,117,403.1,6,3377,96,5/12,35.17,8.37,25.1,0,1
I Udana,Royal Challengers Bangalore,2020-2020,10,4,1,15,10*,5,11,136.36,0,0,1,1,1,10,29.0,0,282,8,2/41,35.25,9.72,21.7,0,0
IC Pandey,"Chennai Super Kings, Pune Warriors",2013-2015,25,1,0,0,0,0,2,0,0,0,1,0,0,24,77.0,4,591,18,2/23,32.83,7.67,25.6,0,0
IC Porel,Punjab Kings,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,39,1,1/39,39,9.75,24,0,0
IK Pathan,"Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Rising Pune Supergiants, Sunrisers Hyderabad",2008-2017,103,82,29,1139,60,21.49,946,120.4,0,1,3,87,37,101,340.3,10,2649,80,3/24,33.11,7.77,25.5,0,0
IR Jaggi,"Deccan Chargers, Kolkata Knight Riders",2011-2017,7,7,2,76,28,15.2,97,78.35,0,0,0,6,0,-,-,-,-,-,-,-,-,-,-,-
IS Sodhi,Rajasthan Royals,2018-2019,8,2,0,7,6,3.5,17,41.17,0,0,0,0,0,8,30.1,1,202,9,3/26,22.44,6.69,20.1,0,0
Imran Tahir,"Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiant",2014-2021,59,9,5,33,13*,8.25,37,89.18,0,0,0,5,0,59,219.2,1,1703,82,4/12,20.76,7.76,16,3,0
Iqbal Abdulla,"Kolkata Knight Riders, Rajasthan Royals, Royal Challengers Bangalore",2008-2017,49,13,11,88,33*,44,84,104.76,0,0,1,9,1,48,153.2,1,1109,40,3/24,27.72,7.23,23,0,0
Ishan Kishan,"Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad",2016-2026,123,116,9,3120,106*,29.15,2246,138.91,1,18,9,302,140,1,0.1,0,4,0,-,-,24,-,0,0
J Arunkumar,Royal Challengers Bangalore,2008-2008,3,3,0,23,22,7.66,23,100,0,0,1,5,0,-,-,-,-,-,-,-,-,-,-,-
J Botha,"Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals",2009-2015,34,28,8,409,67*,20.45,359,113.92,0,1,0,39,5,34,115.4,0,800,25,3/6,32,6.91,27.7,0,0
J Fraser-McGurk,Delhi Capitals,2024-2025,15,15,0,385,84,25.66,193,199.48,0,4,3,39,30,-,-,-,-,-,-,-,-,-,-,-
J Overton,Chennai Super Kings,2025-2026,6,4,3,95,43*,95,59,161.01,0,0,0,7,5,6,14.0,0,157,5,4/18,31.4,11.21,16.8,1,0
J Suchith,"Delhi Capitals, Mumbai Indians, Sunrisers Hyderabad",2015-2022,22,10,6,70,34*,17.5,61,114.75,0,0,1,6,3,21,70.0,0,602,19,2/12,31.68,8.6,22.1,0,0
J Syed Mohammad,Royal Challengers Bangalore,2011-2013,11,5,3,29,13*,14.5,26,111.53,0,0,0,4,0,11,32.0,0,283,8,2/15,35.37,8.84,24,0,0
J Theron,"Deccan Chargers, Kings XI Punjab, Rajasthan Royals",2010-2015,10,4,2,10,7*,5,12,83.33,0,0,1,1,0,10,36.0,0,293,9,2/17,32.55,8.13,24,0,0
J Yadav,"Delhi Daredevils, Gujarat Titans, Mumbai Indians",2015-2023,20,5,1,40,23,10,36,111.11,0,0,0,2,1,20,65.0,0,445,8,1/8,55.62,6.84,48.7,0,0
JA Duffy,Royal Challengers Bengaluru,2026-2026,3,-,-,-,-,-,-,-,-,-,-,-,-,2,8.0,0,80,5,3/22,16,10,9.6,0,0
JA Morkel,"Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiants, Royal Challengers Bangalore",2008-2016,91,68,28,974,73*,24.35,686,141.98,0,3,3,61,55,87,287.1,3,2355,85,4/32,27.7,8.2,20.2,1,0
JA Richardson,"Delhi Capitals, Punjab Kings",2021-2024,4,3,0,17,15,5.66,26,65.38,0,0,1,2,0,4,15.0,0,157,3,2/41,52.33,10.46,30,0,0
JB Little,Gujarat Titans,2023-2024,11,-,-,-,-,-,-,-,-,-,-,-,-,11,38.0,0,339,11,4/45,30.81,8.92,20.7,1,0
JC Archer,"Mumbai Indians, Rajasthan Royals",2018-2026,56,33,14,263,30,13.84,180,146.11,0,0,5,14,18,56,216.0,3,1709,64,3/15,26.7,7.91,20.2,0,0
JC Buttler,"Gujarat Titans, Mumbai Indians, Rajasthan Royals",2016-2026,125,123,16,4296,124,40.14,2869,149.73,7,26,8,429,192,-,-,-,-,-,-,-,-,-,-,-
JD Ryder,"Pune Warriors, Royal Challengers Bangalore",2009-2012,29,29,1,604,86,21.57,458,131.87,0,4,4,69,19,16,39.2,1,303,8,2/14,37.87,7.7,29.5,0,0
JD Unadkat,"Delhi Daredevils, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad",2010-2026,116,33,17,201,26,12.56,169,118.93,0,0,2,16,7,115,391.5,3,3504,114,5/25,30.73,8.94,20.6,0,2
JDP Oram,"Chennai Super Kings, Mumbai Indians, Rajasthan Royals",2008-2013,18,12,4,106,41*,13.25,108,98.14,0,0,1,6,5,14,39.3,0,349,9,3/32,38.77,8.83,26.3,0,0
JDS Neesham,"Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Rajasthan Royals",2014-2022,14,10,1,92,22,10.22,93,98.92,0,0,2,6,2,13,36.0,0,334,8,3/12,41.75,9.27,27,0,0
JE Root,Rajasthan Royals,2023-2023,3,1,0,10,10,10,15,66.66,0,0,0,1,0,1,2.0,0,14,0,-,-,7,-,0,0
JE Taylor,Pune Warriors,2011-2011,5,2,1,3,2,3,3,100,0,0,0,0,0,5,19.3,0,157,6,3/30,26.16,8.05,19.5,0,0
JEC Franklin,Mumbai Indians,2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8,15,25.1,0,220,9,2/18,24.44,8.74,16.7,0,0
JG Bethell,Royal Challengers Bengaluru,2025-2025,2,2,0,67,55,33.5,39,171.79,0,1,0,9,3,-,-,-,-,-,-,-,-,-,-,-
JH Kallis,"Kolkata Knight Riders, Royal Challengers Bangalore",2008-2014,98,96,11,2427,89*,28.55,2222,109.22,0,17,9,255,44,89,290.2,3,2293,65,3/13,35.27,7.89,26.8,0,0
JJ Bumrah,Mumbai Indians,2013-2026,149,32,25,73,16*,10.42,81,90.12,0,0,5,6,1,149,571.1,8,4154,183,5/10,22.69,7.27,18.7,3,2
JJ Roy,"Delhi Daredevils, Gujarat Lions, Kolkata Knight Riders, Sunrisers Hyderabad",2017-2023,21,21,2,614,91*,32.31,443,138.6,0,4,0,75,21,-,-,-,-,-,-,-,-,-,-,-
JJ van der Wath,Royal Challengers Bangalore,2011-2011,3,3,1,18,14*,9,16,112.5,0,0,1,1,1,3,12.0,0,129,3,2/49,43,10.75,24,0,0
JL Denly,Kolkata Knight Riders,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-
JL Pattinson,Mumbai Indians,2020-2020,10,2,1,15,11,15,13,115.38,0,0,0,2,0,10,35.3,0,320,11,2/19,29.09,9.01,19.3,0,0
JM Bairstow,"Mumbai Indians, Punjab Kings, Sunrisers Hyderabad",2019-2025,52,52,4,1674,114,34.87,1146,146.07,2,9,3,173,74,-,-,-,-,-,-,-,-,-,-,-
JM Kemp,Chennai Super Kings,2010-2010,5,2,0,26,22,13,24,108.33,0,0,0,1,1,5,7.2,0,54,3,3/12,18,7.36,14.6,0,0
JM Sharma,"Punjab Kings, Royal Challengers Bengaluru",2022-2026,59,50,8,1006,85*,23.95,649,155,0,1,3,78,62,-,-,-,-,-,-,-,-,-,-,-
JO Holder,"Chennai Super Kings, Kolkata Knight Riders, Lucknow Super Giants, Rajasthan Royals, Sunrisers Hyderabad",2013-2023,46,27,6,259,47*,12.33,211,122.74,0,0,2,13,18,46,165.5,0,1461,53,4/52,27.56,8.81,18.7,1,0
JP Behrendorff,Mumbai Indians,2019-2023,17,2,2,6,3*,-,9,66.66,0,0,0,0,0,17,61.0,0,552,19,3/23,29.05,9.04,19.2,0,0
JP Duminy,"Deccan Chargers, Delhi Daredevils, Mumbai Indians",2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79,49,113.0,0,834,23,4/17,36.26,7.38,29.4,1,0
JP Faulkner,"Gujarat Lions, Kings XI Punjab, Pune Warriors, Rajasthan Royals",2011-2017,60,45,20,527,46,21.08,389,135.47,0,0,0,36,23,60,204.3,4,1778,59,5/16,30.13,8.69,20.7,0,2
JP Inglis,Punjab Kings,2025-2025,11,11,2,278,73,30.88,171,162.57,0,1,0,26,16,-,-,-,-,-,-,-,-,-,-,-
JPR Scantlebury-Searles,Kolkata Knight Riders,2018-2018,4,2,1,8,6*,8,6,133.33,0,0,0,0,1,3,7.0,0,89,2,1/24,44.5,12.71,21,0,0
JR Hazlewood,"Chennai Super Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru",2020-2026,40,7,7,19,7*,-,29,65.51,0,0,0,1,0,40,148.3,1,1240,59,4/25,21.01,8.35,15.1,2,0
JR Hopes,"Delhi Daredevils, Kings XI Punjab",2008-2011,21,19,3,417,71,26.06,306,136.27,0,4,1,49,11,20,60.0,0,548,14,2/2,39.14,9.13,25.7,0,0
JR Philippe,Royal Challengers Bangalore,2020-2020,5,5,1,78,33,19.5,77,101.29,0,0,1,9,1,-,-,-,-,-,-,-,-,-,-,-
JW Hastings,"Chennai Super Kings, Kolkata Knight Riders",2014-2016,3,-,-,-,-,-,-,-,-,-,-,-,-,3,9.4,1,66,3,2/6,22,6.82,19.3,0,0
