PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
ND Doshi,"Rajasthan Royals, Royal Challengers Bangalore",2010-2011,4,1,0,0,0,0,13,0,0,0,1,0,0,4,9.2,0,79,2,1/15,39.5,8.46,28,0,0
NJ Maddinson,Royal Challengers Bangalore,2014-2015,3,3,0,20,12,6.66,21,95.23,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-
NJ Rimmington,Kings XI Punjab,2011-2011,1,1,1,1,1*,-,1,100,0,0,0,0,0,1,3.0,0,19,0,-,-,6.33,-,0,0
NK Patel,Rajasthan Royals,2008-2009,9,6,2,121,57,30.25,119,101.68,0,1,0,14,1,-,-,-,-,-,-,-,-,-,-,-
NL McCullum,Pune Warriors,2011-2011,2,2,1,26,15,26,22,118.18,0,0,0,0,1,2,5.0,0,34,0,-,-,6.8,-,0,0
NLTC Perera,"Chennai Super Kings, Kings XI Punjab, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Sunrisers Hyderabad",2010-2016,37,30,8,422,40,19.18,307,137.45,0,0,1,23,26,36,116.2,0,1016,31,3/20,32.77,8.73,22.5,0,0
NM Coulter-Nile,"Delhi Daredevils, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals",2013-2022,39,17,6,82,24*,7.45,72,113.88,0,0,0,7,4,38,142.5,1,1100,48,4/14,22.91,7.7,17.8,2,0
NS Naik,"Kings XI Punjab, Kolkata Knight Riders",2016-2020,4,4,0,31,22,7.75,50,62,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-
NT Ellis,"Chennai Super Kings, Punjab Kings",2021-2025,17,5,1,19,12,4.75,25,76,0,0,2,0,1,17,63.0,0,546,19,4/30,28.73,8.66,19.8,1,0
NT Tilak Varma,Mumbai Indians,2022-2026,58,54,11,1533,84*,35.65,1064,144.07,0,8,2,119,74,4,3.4,0,28,0,-,-,7.63,-,0,0
NV Ojha,"Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad",2009-2018,113,94,19,1554,94*,20.72,1313,118.35,0,6,8,121,79,-,-,-,-,-,-,-,-,-,-,-
Naman Dhir,Mumbai Indians,2024-2026,27,22,6,450,62*,28.12,253,177.86,0,1,3,42,25,5,8.4,0,76,0,-,-,8.76,-,0,0
Naveen-ul-Haq,Lucknow Super Giants,2023-2024,18,6,5,18,13,18,25,72,0,0,0,2,0,17,64.3,0,591,25,4/38,23.64,9.16,15.4,1,0
